idestacion,lat,lon,uso,luns,lune,lunt,mars,mare,mart,mies,miee,miet,jues,juee,juet,vies,viee,viet,sabs,sabt,sabe,doms,dome,domt,totals,totale,tipoestacion
25,19.396,-99.184,926,-0.29,0.42,5,-0.31,0.43,5,-0.3,0.48,5,-0.28,0.49,5,-0.21,0.5,2,-0.23,0.28,2,-0.29,0.26,4,-0.27,0.4,5
26,19.378,-99.17,975,-0.32,0.79,5,-0.27,0.81,5,-0.27,0.82,5,-0.31,0.8,5,-0.22,0.8,2,-0.18,0.53,2,-0.3,0.41,5,-0.26,0.7,5
27,19.364,-99.171,1966,-0.22,0.56,2,-0.23,0.63,2,-0.22,0.58,2,-0.22,0.58,2,-0.2,0.56,2,-0.14,0.22,1,-0.15,0.25,2,-0.19,0.48,2
28,19.362,-99.173,1006,-0.39,0.53,5,-0.41,0.54,5,-0.43,0.5,5,-0.42,0.52,5,-0.39,0.53,5,-0.23,0.48,2,-0.26,0.55,5,-0.36,0.52,5
29,19.376,-99.168,1027,-0.11,0.54,2,-0.09,0.61,2,-0.1,0.6,2,-0.11,0.58,2,-0.06,0.58,2,-0.08,0.33,2,-0.12,0.23,1,-0.09,0.49,2
30,19.365,-99.176,1036,-0.33,0.51,5,-0.33,0.55,5,-0.32,0.57,5,-0.31,0.57,5,-0.21,0.55,2,-0.14,0.53,2,-0.25,0.31,5,-0.27,0.51,5
31,19.377,-99.161,1040,-0.21,0.49,2,-0.24,0.52,2,-0.22,0.5,2,-0.2,0.52,2,-0.19,0.46,2,-0.12,0.19,1,-0.15,0.16,1,-0.18,0.4,2
32,19.376,-99.186,1977,-0.15,0.27,2,-0.13,0.3,2,-0.12,0.31,2,-0.13,0.31,2,-0.12,0.29,2,-0.11,0.16,1,-0.15,0.11,1,-0.13,0.25,2
33,19.385,-99.178,935,-0.25,0.48,5,-0.22,0.55,2,-0.22,0.56,2,-0.2,0.58,2,-0.19,0.55,2,-0.15,0.35,2,-0.19,0.23,1,-0.2,0.47,2
34,19.373,-99.167,983,-0.16,0.43,2,-0.14,0.46,2,-0.14,0.48,2,-0.14,0.48,2,-0.12,0.47,2,-0.09,0.28,2,-0.12,0.18,1,-0.13,0.39,2
